f1,f2,f3,f4,f5,f6,time
-1,1,1,1,1,-1,2848
-1,1,1,1,1,-1,669
-1,1,1,1,1,-1,1238
-1,1,1,1,1,-1,1342
-1,1,1,1,1,-1,801
-1,1,1,1,1,-1,537
-1,1,1,1,1,-1,831
1,1,-1,-1,-1,1,1375
1,1,-1,-1,-1,1,1248
1,1,-1,-1,-1,1,1601
1,1,-1,-1,-1,1,1520
1,1,-1,-1,-1,1,1337
1,1,-1,-1,-1,1,1348
1,1,-1,-1,-1,1,1278
1,1,-1,-1,-1,1,1847
1,1,-1,-1,-1,1,1952
1,1,-1,-1,-1,1,1432
1,-1,1,1,1,-1,1591
1,-1,1,1,1,-1,1577
1,-1,1,1,1,-1,1187
1,-1,1,1,1,-1,1591
1,-1,1,1,1,-1,1577
1,-1,1,1,1,-1,1187
1,-1,1,1,1,-1,1591
1,-1,1,1,1,-1,1577
1,-1,1,1,1,-1,1187
1,-1,1,1,1,-1,1591
1,1,1,1,1,1,1252
1,1,1,1,1,1,1516
1,1,1,1,1,1,1419
1,1,1,1,1,1,1294
1,1,1,1,1,1,1551
1,1,1,1,1,1,1705
1,1,1,1,1,1,1815
1,1,1,1,1,1,1413
1,1,1,1,1,1,1851
1,1,1,1,1,1,1544
1,-1,-1,-1,1,1,1158
1,-1,-1,-1,1,1,977
1,-1,-1,-1,1,1,65447
1,-1,-1,-1,1,1,1808
1,-1,-1,-1,1,1,877
1,-1,-1,-1,1,1,1228
1,-1,-1,-1,1,1,1016
1,-1,-1,-1,1,1,1452
1,-1,-1,-1,1,1,894
1,-1,-1,-1,1,1,1124
