f1,f2,f3,f4,f5,f6,time
1,-1,-1,-1,1,-1,6.894670039433482
1,-1,-1,-1,1,-1,6.778784897685177
1,1,-1,1,1,1,7.188412736496954
1,1,-1,1,1,1,7.495541943884256
1,1,-1,1,1,1,7.122059881629142
1,1,-1,1,1,1,7.136483208590247
1,1,-1,1,1,1,7.273786317844895
1,1,-1,1,1,1,7.122059881629142
1,1,-1,1,1,1,7.046647277848756
1,1,-1,1,1,1,7.256297239690681
1,1,-1,1,1,1,7.443663683115591
1,1,-1,1,1,1,6.927557906278317
-1,1,-1,1,1,1,6.901737206656574
-1,1,-1,1,1,1,6.860663671448287
-1,1,-1,1,1,1,6.771935555839602
-1,1,-1,1,1,1,6.873163834212518
-1,1,-1,1,1,1,6.828712071641684
-1,1,-1,1,1,1,6.890609120147166
-1,1,-1,1,1,1,6.796823718274855
-1,1,-1,1,1,1,6.470799503782602
-1,1,-1,1,1,1,6.931471805599453
-1,1,-1,1,1,1,6.668228248417403
-1,-1,-1,-1,1,-1,6.777646593635117
-1,-1,-1,-1,1,-1,6.777646593635117
-1,-1,-1,-1,1,-1,6.684611727667927
-1,-1,-1,-1,1,-1,7.465655310134056
-1,-1,-1,-1,1,-1,6.684611727667927
-1,-1,-1,-1,1,-1,6.75343791859778
-1,-1,-1,-1,1,-1,6.459904454377535
-1,-1,-1,-1,1,-1,6.843749949006225
-1,-1,-1,-1,1,-1,6.980075940561763
-1,-1,-1,-1,1,-1,6.805722553416985
1,1,-1,-1,1,1,7.116394144093465
1,1,-1,-1,1,1,7.118826249062078
1,1,-1,-1,1,1,6.9167150203536085
1,1,-1,-1,1,1,7.22983877815125
1,1,-1,-1,1,1,7.589841512182657
1,1,-1,-1,1,1,7.163946684342547
1,1,-1,-1,1,1,7.304515946460155
1,1,-1,-1,1,1,7.323830566202317
1,1,-1,-1,1,1,7.089243155027514
1,1,-1,-1,1,1,7.445417556701687
-1,1,-1,-1,-1,-1,7.005789019253503
-1,1,-1,-1,-1,-1,6.884486652042782
-1,1,-1,-1,-1,-1,6.802394763324311
-1,1,-1,-1,-1,-1,7.029972911706386
-1,1,-1,-1,-1,-1,6.926577033222725
-1,1,-1,-1,-1,-1,6.889591308354466
-1,1,-1,-1,-1,-1,7.109062135687172
-1,1,-1,-1,-1,-1,6.902742737158593
-1,1,-1,-1,-1,-1,6.812345094177479
-1,1,-1,-1,-1,-1,6.762729506931879
1,-1,-1,-1,-1,1,1629
1,-1,-1,-1,-1,1,1173
1,-1,-1,-1,-1,1,1953
1,-1,-1,-1,-1,1,1629
1,-1,-1,-1,-1,1,1173
1,-1,-1,-1,-1,1,1953
1,-1,-1,-1,-1,1,1629
1,-1,-1,-1,-1,1,1173
1,-1,-1,-1,-1,1,1953
1,-1,-1,-1,-1,1,1629
1,1,-1,1,-1,-1,6.9957661563048505
1,1,-1,1,-1,-1,6.854354502255021
1,1,-1,1,-1,-1,6.738152494595957
1,1,-1,1,-1,-1,7.234898420314831
1,1,-1,1,-1,-1,7.029087564149662
1,1,-1,1,-1,-1,7.913886714856082
1,1,-1,1,-1,-1,7.786967002614872
1,1,-1,1,-1,-1,7.762170607138205
